Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify if white space is accepted as comment,EL-23,10022,Bug,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Anamika,620f62d8f97d180071757929,20/Feb/22 8:08 PM,20/Feb/22 8:13 PM,20/Feb/22 8:09 PM,,,0,"Steps to the issue:
1. Navigate to Elearning application
2. Click and sign up and enter the valid credentials
3. Go to Social network and Choose My Shared Profile
4. Verify if white space is accepted as comment

Expected Result:
white space should be accepted as comment

Actual Result:
white space is not accepted as comment

Test Data:
 ",,Anamika,620f62d8f97d180071757929,,,,,,,,,,,,,,,,{},,,,0|i00047:,,EL Sprint 1,,,,,,,,In Progress
Verify if emojis are accepted in comment,EL-22,10021,Bug,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Anamika,620f62d8f97d180071757929,20/Feb/22 8:05 PM,20/Feb/22 8:13 PM,21/Feb/22 9:33 AM,,,0,"Steps to the issue:
1. Navigate to Elearning application
2. Click and sign up and enter the valid credentials
3. Go to Social network and Choose My Shared Profile
4. Verify if emojis are accepted in comment

Expected Result:
emoji should be accepted and shown on the comment

Actual Result:
emoji is accepted but is not displayed in the comment, instead, '?' is displayed

Test Data:
😇",,Anamika,620f62d8f97d180071757929,,,,,,,,,,20/Feb/22 8:06 PM;ug:2673ee18-8f17-49e5-9eb6-e5e6a0dbcc11;Screenshot from 2022-02-20 20-06-46.png;https://aanamikaa.atlassian.net/secure/attachment/10002/Screenshot+from+2022-02-20+20-06-46.png,,,,,,{},,,,0|i0003x:,,EL Sprint 1,,,,,,,,In Progress
Verify that the file which is going to be uploaded can be a pdf file,EL-21,10020,Bug,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Anamika,620f62d8f97d180071757929,20/Feb/22 8:01 PM,20/Feb/22 8:13 PM,20/Feb/22 8:16 PM,,,0,"Steps to the issue:
1. Navigate to Elearning application
2. Click and sign up and enter the valid credentials
3. Go to Social network and Choose My Shared Profile
4. Verify that the file which is going to be uploaded can be a pdf file

Expected Result:
It will show the pdf in the feed after clicking on post button.

Actual Result:
It is not showing the pdf file in the feed after clicking on post button.

Test Data:
abc.pdf",,Anamika,620f62d8f97d180071757929,,,,,,,,,,,,,,,,{},,,,0|i0003t:,,EL Sprint 1,,,,,,,,In Progress
Verify that the word length exceeding the comment section of the post will print in different lines or not,EL-20,10019,Bug,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Anamika,620f62d8f97d180071757929,20/Feb/22 7:50 PM,20/Feb/22 7:53 PM,21/Feb/22 12:37 AM,,,0,"Steps to the issue: 
1. Navigate to Elearning application
2. Click and sign up and enter the valid credentials
3. Go to Social network and Choose My Shared Profile
4. Verify that the word length exceeding the comment section of the post will print in different lines or not

Expected Result:
If the length of a word is exceeding the layout size of comment box then it will be printed in the next line on wards.

Actual Result:
If the length of a word is exceeding the layout size of the comment box then it still printing it in the same line.

Test Data:
asuhfguhfdggdsugfdsuhgfsduhgsfduhfdgsuhfsdgushfdgfsduhgfdsuhgfduhfguhfsguhfsguhfguhfsdguhfsgufsgufsdgusfgufgs",,Anamika,620f62d8f97d180071757929,,,,,,,,,,20/Feb/22 7:53 PM;ug:2673ee18-8f17-49e5-9eb6-e5e6a0dbcc11;Screenshot from 2022-02-20 19-52-41.png;https://aanamikaa.atlassian.net/secure/attachment/10001/Screenshot+from+2022-02-20+19-52-41.png,,,,,,{},,,,0|i0003v:,,EL Sprint 1,,,,,,,,In Progress
Verify that special characters are accepted while posting,EL-19,10018,Bug,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Anamika,620f62d8f97d180071757929,20/Feb/22 7:38 PM,20/Feb/22 7:42 PM,20/Feb/22 7:42 PM,,,0,"*Steps to the Issue:*
1. Navigate to Elearning application
2. Click and sign up and enter the valid credentials
3. Go to Social Network and Choose MY Shared Profile
4. Verify that special characters are accepted while posting content

*Expected Result:*
It should display the special character in the new post/comment after it is posted

*Actual Result:*
It is not displaying the special character and it is replaced with a '?' when the post/comment is posted

*Test Data:*
My new profile picture 😍",,Anamika,620f62d8f97d180071757929,,,,,,,,,,20/Feb/22 7:41 PM;ug:2673ee18-8f17-49e5-9eb6-e5e6a0dbcc11;Screenshot from 2022-02-20 19-41-16.png;https://aanamikaa.atlassian.net/secure/attachment/10000/Screenshot+from+2022-02-20+19-41-16.png,,,,,,{},,,,0|i0003z:,,EL Sprint 1,,,,,,,,In Progress
Verify if the correct login credentials are accepted after logging out,EL-18,10017,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:24 PM,20/Feb/22 7:28 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0003r:,,EL Sprint 1,,,,,,,,In Progress
Verify login for both incorrect username as well as password,EL-17,10016,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:24 PM,20/Feb/22 7:28 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0003j:,,EL Sprint 1,,,,,,,,In Progress
Verify if  incorrect password is accepted while logging in,EL-16,10015,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:24 PM,20/Feb/22 7:28 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0003b:,,EL Sprint 1,,,,,,,,In Progress
Verify if  incorrect username is accepted while logging in,EL-15,10014,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:24 PM,20/Feb/22 7:28 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i00033:,,EL Sprint 1,,,,,,,,In Progress
Verify if  blank username is accepted while logging in,EL-14,10013,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:24 PM,20/Feb/22 7:28 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0002v:,,EL Sprint 1,,,,,,,,In Progress
Verify that the word length exceeding the comment section of the post will print in different lines or not,EL-13,10012,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:24 PM,20/Feb/22 7:51 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,EL-20,,,,,,,{},,,,0|i0002n:,,EL Sprint 1,,,,,,,,In Progress
Verify if alphabets are accepted in comment and displayed correctly,EL-12,10011,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:24 PM,20/Feb/22 7:28 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0002f:,,EL Sprint 1,,,,,,,,In Progress
Verify if numbers are accepted in comment,EL-11,10010,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 7:28 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i00027:,,EL Sprint 1,,,,,,,,In Progress
Verify if special characters are accepted in comment,EL-10,10009,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 7:28 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001z:,,EL Sprint 1,,,,,,,,In Progress
Verify if blank is accepted as a comment,EL-9,10008,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 7:27 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0001r:,,EL Sprint 1,,,,,,,,In Progress
Verify if white space is accepted as comment,EL-8,10007,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 8:08 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,EL-23,,,,,,,{},,,,0|i0001j:,,EL Sprint 1,,,,,,,,In Progress
Verify if emojis are accepted in comment,EL-7,10006,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 8:06 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,EL-22,,,,,,,{},,,,0|i0001b:,,EL Sprint 1,,,,,,,,In Progress
Verify when we choose .ppt file and left message field empty,EL-6,10005,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 7:27 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i00013:,,EL Sprint 1,,,,,,,,In Progress
Verify that special characters are accepted while posting,EL-5,10004,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 7:39 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,EL-19,,,,,,,{},,,,0|i0000v:,,EL Sprint 1,,,,,,,,In Progress
Verify that the file which is going to be uploaded can be a pdf file,EL-4,10003,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 8:02 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,EL-21,,,,,,,{},,,,0|i0000n:,,EL Sprint 1,,,,,,,,In Progress
Verify that that file wich is going to be uploaded can be a jpeg file,EL-3,10002,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 7:27 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i0000f:,,EL Sprint 1,,,,,,,,In Progress
Verify that post can't be made if the message box and file upload section is empty,EL-2,10001,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 7:27 PM,21/Feb/22 9:57 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|i00007:,,EL Sprint 1,,,,,,,,In Progress
Verify the search for users and groups by putting in blank value,EL-1,10000,Test,In Progress,EL,E-Learning,software,Anamika,620f62d8f97d180071757929,,Medium,,,,Anamika,620f62d8f97d180071757929,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,20/Feb/22 7:23 PM,20/Feb/22 7:27 PM,20/Feb/22 7:44 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,{},,,,0|hzzzzz:,,EL Sprint 1,,,,,,,,In Progress
